datetime;high;low;close;hl;tr0;tr1;tr2;TR;ATR;NORM
2021-03-19 14:00:00;146720.0;146020.0;146270.0;6.551080335043404;700.0;;;700.0;;
2021-03-19 15:00:00;147100.0;146090.0;146560.0;6.917705609835305;1010.0;830.0;180.0;1010.0;;
2021-03-19 16:00:00;146550.0;145480.0;145720.0;6.975413927455952;1070.0;10.0;1080.0;1080.0;895.5555555555554;0.17796966929149693
2021-03-19 17:00:00;146080.0;145510.0;145610.0;6.345636360828596;570.0;360.0;210.0;570.0;787.0370370370371;-0.3226389475196374
2021-03-19 18:00:00;145600.0;144260.0;145010.0;7.200424892944957;1340.0;10.0;1350.0;1350.0;974.6913580246913;0.3183040279336078
2021-03-19 19:00:00;146330.0;144560.0;146140.0;7.478734825567875;1770.0;1320.0;450.0;1770.0;1239.7942386831276;0.35603411728364875
2021-03-19 20:00:00;146210.0;145230.0;145600.0;6.887552571664617;980.0;70.0;910.0;980.0;1153.196159122085;-0.1627400634680729
2021-03-19 21:00:00;145800.0;145130.0;145740.0;6.507277712385012;670.0;200.0;470.0;670.0;992.1307727480566;-0.3925772135783898
2021-03-19 22:00:00;145760.0;145360.0;145660.0;5.991464547107982;400.0;20.0;380.0;400.0;794.7538484987044;-0.6865678950728471
2021-03-19 23:00:00;145900.0;145580.0;145800.0;5.768320995793772;320.0;240.0;80.0;320.0;636.502565665803;-0.6876674530923488
2021-03-20 00:00:00;145890.0;145590.0;145650.0;5.703782474656201;300.0;90.0;210.0;300.0;524.335043777202;-0.5583484018593561
2021-03-20 01:00:00;145940.0;145610.0;145830.0;5.799092654460526;330.0;290.0;40.0;330.0;459.556695851468;-0.33116966568999207
2021-03-22 09:00:00;145750.0;145070.0;145170.0;6.522092798170152;680.0;80.0;760.0;760.0;559.7044639009787;0.1946838967802922
2021-03-22 10:00:00;145570.0;145010.0;145290.0;6.327936783729195;560.0;400.0;160.0;560.0;559.8029759339859;0.00035189059554507907
2021-03-22 11:00:00;145500.0;145050.0;145120.0;6.1092475827643655;450.0;210.0;240.0;450.0;523.2019839559906;-0.15072000933624796
2021-03-22 12:00:00;145120.0;143740.0;144140.0;7.22983877815125;1380.0;0.0;1380.0;1380.0;808.8013226373271;0.5342854751380575
2021-03-22 13:00:00;145590.0;143990.0;145180.0;7.3777589082278725;1600.0;1450.0;150.0;1600.0;1072.5342150915512;0.3999793557512996
2021-03-22 14:00:00;145340.0;144810.0;145090.0;6.272877006546167;530.0;160.0;370.0;530.0;891.6894767277008;-0.5202409451654928
2021-03-22 15:00:00;145910.0;145080.0;145430.0;6.721425700790643;830.0;820.0;10.0;830.0;871.1263178184672;-0.048361291744587476
2021-03-22 16:00:00;145830.0;145340.0;145630.0;6.194405391104672;490.0;400.0;90.0;490.0;744.0842118789782;-0.4177488253325201
2021-03-22 17:00:00;145740.0;144950.0;145040.0;6.672032945461067;790.0;110.0;680.0;790.0;759.3894745859855;0.039518157930625186
2021-03-22 18:00:00;145350.0;144520.0;144600.0;6.721425700790643;830.0;310.0;520.0;830.0;782.926316390657;0.05838711345441272
2021-03-22 19:00:00;145140.0;144490.0;144890.0;6.476972362889683;650.0;540.0;110.0;650.0;738.6175442604381;-0.12780789264558656
2021-03-22 20:00:00;144990.0;144160.0;144470.0;6.721425700790643;830.0;100.0;730.0;830.0;769.0783628402921;0.07623283421362359
2021-03-22 21:00:00;144810.0;143870.0;144590.0;6.84587987526405;940.0;340.0;600.0;940.0;826.052241893528;0.12922185689860388
2021-03-22 22:00:00;144790.0;144320.0;144760.0;6.152732694704104;470.0;200.0;270.0;470.0;707.368161262352;-0.4088185729434839
2021-03-22 23:00:00;144890.0;144630.0;144690.0;5.560681631015528;260.0;130.0;130.0;260.0;558.2454408415681;-0.7641170927955612
2021-03-23 00:00:00;144810.0;144010.0;144110.0;6.684611727667927;800.0;120.0;680.0;800.0;638.8302938943787;0.22497288932317883
2021-03-23 01:00:00;144330.0;144050.0;144150.0;5.634789603169249;280.0;220.0;60.0;280.0;519.2201959295858;-0.6175384596335807
2021-03-23 09:00:00;144110.0;143210.0;143290.0;6.802394763324311;900.0;40.0;940.0;940.0;659.4801306197238;0.3109429195666289
2021-03-23 10:00:00;143400.0;142840.0;142920.0;6.327936783729195;560.0;110.0;450.0;560.0;626.320087079816;-0.1119247779045196
2021-03-23 11:00:00;143600.0;142720.0;143350.0;6.779921907472252;880.0;680.0;200.0;880.0;710.8800580532106;0.21341818662078893
2021-03-23 12:00:00;143480.0;142390.0;142630.0;6.993932975223189;1090.0;130.0;960.0;1090.0;837.2533720354737;0.2638062360437292
2021-03-23 13:00:00;142640.0;141660.0;141890.0;6.887552571664617;980.0;10.0;970.0;980.0;884.8355813569824;0.10215072769405253
2021-03-23 14:00:00;142190.0;140270.0;140780.0;7.560080465021827;1920.0;300.0;1620.0;1920.0;1229.8903875713215;0.4454001364220863
2021-03-23 15:00:00;141680.0;140540.0;141640.0;7.038783541388542;1140.0;900.0;240.0;1140.0;1199.9269250475477;-0.05123239673961599
2021-03-23 16:00:00;141940.0;141140.0;141540.0;6.684611727667927;800.0;300.0;500.0;800.0;1066.6179500316985;-0.2876363995635076
2021-03-23 17:00:00;141910.0;141070.0;141610.0;6.733401891837359;840.0;370.0;470.0;840.0;991.0786333544656;-0.1653919868265854
2021-03-23 18:00:00;141880.0;141230.0;141400.0;6.476972362889683;650.0;270.0;380.0;650.0;877.3857555696438;-0.29997439089145583
2021-03-23 19:00:00;142320.0;140950.0;141340.0;7.222566018822171;1370.0;920.0;450.0;1370.0;1041.5905037130958;0.2740618644283437
